,N,d,algo,mem
0,100,2,nmoo,121.29296875
1,100,2,pymoo,121.5625
2,100,2,nmoo,121.71484375
3,100,2,pymoo,121.71484375
4,100,2,nmoo,121.72265625
5,100,2,pymoo,121.72265625
6,100,2,nmoo,121.72265625
7,100,2,pymoo,121.72265625
8,100,2,nmoo,121.72265625
9,100,2,pymoo,121.72265625
10,100,2,nmoo,121.72265625
11,100,2,pymoo,121.72265625
12,100,2,nmoo,121.72265625
13,100,2,pymoo,121.72265625
14,100,2,nmoo,121.7265625
15,100,2,pymoo,121.7265625
16,100,2,nmoo,121.7265625
17,100,2,pymoo,121.7265625
18,100,2,nmoo,121.7265625
19,100,2,pymoo,121.7265625
20,100,3,nmoo,121.7265625
21,100,3,pymoo,121.7265625
22,100,3,nmoo,121.7265625
23,100,3,pymoo,121.7265625
24,100,3,nmoo,121.7265625
25,100,3,pymoo,121.7265625
26,100,3,nmoo,121.7265625
27,100,3,pymoo,121.7265625
28,100,3,nmoo,121.7265625
29,100,3,pymoo,121.7265625
30,100,3,nmoo,121.7265625
31,100,3,pymoo,121.7265625
32,100,3,nmoo,121.7265625
33,100,3,pymoo,121.7265625
34,100,3,nmoo,121.73046875
35,100,3,pymoo,121.73046875
36,100,3,nmoo,121.73046875
37,100,3,pymoo,121.73046875
38,100,3,nmoo,121.73046875
39,100,3,pymoo,121.73046875
40,100,4,nmoo,121.73046875
41,100,4,pymoo,121.73046875
42,100,4,nmoo,121.73046875
43,100,4,pymoo,121.73046875
44,100,4,nmoo,121.73046875
45,100,4,pymoo,121.73046875
46,100,4,nmoo,121.73046875
47,100,4,pymoo,121.73046875
48,100,4,nmoo,121.73046875
49,100,4,pymoo,121.73046875
50,100,4,nmoo,121.73046875
51,100,4,pymoo,121.734375
52,100,4,nmoo,121.734375
53,100,4,pymoo,121.734375
54,100,4,nmoo,121.734375
55,100,4,pymoo,121.734375
56,100,4,nmoo,121.734375
57,100,4,pymoo,121.734375
58,100,4,nmoo,121.734375
59,100,4,pymoo,121.734375
60,100,5,nmoo,121.734375
61,100,5,pymoo,121.734375
62,100,5,nmoo,121.734375
63,100,5,pymoo,121.734375
64,100,5,nmoo,121.734375
65,100,5,pymoo,121.734375
66,100,5,nmoo,121.734375
67,100,5,pymoo,121.734375
68,100,5,nmoo,121.734375
69,100,5,pymoo,121.73828125
70,100,5,nmoo,121.73828125
71,100,5,pymoo,121.73828125
72,100,5,nmoo,121.73828125
73,100,5,pymoo,121.73828125
74,100,5,nmoo,121.73828125
75,100,5,pymoo,121.73828125
76,100,5,nmoo,121.73828125
77,100,5,pymoo,121.73828125
78,100,5,nmoo,121.73828125
79,100,5,pymoo,121.73828125
80,100,6,nmoo,121.73828125
81,100,6,pymoo,121.73828125
82,100,6,nmoo,121.7421875
83,100,6,pymoo,121.7421875
84,100,6,nmoo,121.7421875
85,100,6,pymoo,121.74609375
86,100,6,nmoo,121.74609375
87,100,6,pymoo,121.74609375
88,100,6,nmoo,121.74609375
89,100,6,pymoo,121.75
90,100,6,nmoo,121.75
91,100,6,pymoo,121.75
92,100,6,nmoo,121.75
93,100,6,pymoo,121.75
94,100,6,nmoo,121.75
95,100,6,pymoo,121.75
96,100,6,nmoo,121.75
97,100,6,pymoo,121.75
98,100,6,nmoo,121.75
99,100,6,pymoo,121.75
100,100,7,nmoo,121.75
101,100,7,pymoo,121.75390625
102,100,7,nmoo,121.75390625
103,100,7,pymoo,121.75390625
104,100,7,nmoo,121.75390625
105,100,7,pymoo,121.7578125
106,100,7,nmoo,121.7578125
107,100,7,pymoo,121.7578125
108,100,7,nmoo,121.7578125
109,100,7,pymoo,121.7578125
110,100,7,nmoo,121.7578125
111,100,7,pymoo,121.7578125
112,100,7,nmoo,121.7578125
113,100,7,pymoo,121.7578125
114,100,7,nmoo,121.7578125
115,100,7,pymoo,121.7578125
116,100,7,nmoo,121.7578125
117,100,7,pymoo,121.7578125
118,100,7,nmoo,121.7578125
119,100,7,pymoo,121.76171875
120,500,2,nmoo,122.40234375
121,500,2,pymoo,123.69140625
122,500,2,nmoo,124.08203125
123,500,2,pymoo,124.1171875
124,500,2,nmoo,124.1015625
125,500,2,pymoo,124.1015625
126,500,2,nmoo,124.3515625
127,500,2,pymoo,124.36328125
128,500,2,nmoo,124.484375
129,500,2,pymoo,124.484375
130,500,2,nmoo,124.484375
131,500,2,pymoo,124.484375
132,500,2,nmoo,124.484375
133,500,2,pymoo,124.484375
134,500,2,nmoo,124.484375
135,500,2,pymoo,124.484375
136,500,2,nmoo,124.484375
137,500,2,pymoo,124.484375
138,500,2,nmoo,124.484375
139,500,2,pymoo,124.484375
140,500,3,nmoo,124.484375
141,500,3,pymoo,124.484375
142,500,3,nmoo,124.484375
143,500,3,pymoo,124.484375
144,500,3,nmoo,124.484375
145,500,3,pymoo,124.484375
146,500,3,nmoo,124.484375
147,500,3,pymoo,124.484375
148,500,3,nmoo,124.484375
149,500,3,pymoo,124.484375
150,500,3,nmoo,124.484375
151,500,3,pymoo,124.484375
152,500,3,nmoo,124.484375
153,500,3,pymoo,124.484375
154,500,3,nmoo,124.484375
155,500,3,pymoo,124.484375
156,500,3,nmoo,124.484375
157,500,3,pymoo,124.484375
158,500,3,nmoo,124.484375
159,500,3,pymoo,124.484375
160,500,4,nmoo,124.484375
161,500,4,pymoo,124.48828125
162,500,4,nmoo,124.48828125
163,500,4,pymoo,124.4921875
164,500,4,nmoo,124.4921875
165,500,4,pymoo,124.4921875
166,500,4,nmoo,124.4921875
167,500,4,pymoo,124.4921875
168,500,4,nmoo,124.4921875
169,500,4,pymoo,124.4921875
170,500,4,nmoo,124.4921875
171,500,4,pymoo,124.49609375
172,500,4,nmoo,124.49609375
173,500,4,pymoo,124.49609375
174,500,4,nmoo,124.49609375
175,500,4,pymoo,124.49609375
176,500,4,nmoo,124.49609375
177,500,4,pymoo,124.49609375
178,500,4,nmoo,124.49609375
179,500,4,pymoo,124.49609375
180,500,5,nmoo,124.49609375
