,N,d,algorithm,memory,time
0,100,2,nmoo,120.90234375,0.00024318695068359375
1,100,2,efficient_non_dominated_sort,121.3125,0.0005817413330078125
2,100,2,fast_non_dominated_sort,121.31640625,0.0009658336639404297
3,100,2,nmoo,121.31640625,0.00023245811462402344
4,100,2,efficient_non_dominated_sort,121.3203125,0.0005686283111572266
5,100,2,fast_non_dominated_sort,121.3203125,0.0008389949798583984
6,100,2,nmoo,121.3203125,0.00025343894958496094
7,100,2,efficient_non_dominated_sort,121.3203125,0.0007967948913574219
8,100,2,fast_non_dominated_sort,121.3203125,0.0010406970977783203
9,100,2,nmoo,121.3203125,0.00024271011352539062
10,100,2,efficient_non_dominated_sort,121.3203125,0.0007176399230957031
11,100,2,fast_non_dominated_sort,121.3203125,0.0011565685272216797
12,100,2,nmoo,121.3203125,0.0002498626708984375
13,100,2,efficient_non_dominated_sort,121.3203125,0.0007491111755371094
14,100,2,fast_non_dominated_sort,121.3203125,0.0009756088256835938
15,100,2,nmoo,121.3203125,0.00023865699768066406
16,100,2,efficient_non_dominated_sort,121.3203125,0.0007681846618652344
17,100,2,fast_non_dominated_sort,121.3203125,0.0009918212890625
18,100,2,nmoo,121.3203125,0.0002918243408203125
19,100,2,efficient_non_dominated_sort,121.3203125,0.0006060600280761719
20,100,2,fast_non_dominated_sort,121.3203125,0.0009751319885253906
21,100,2,nmoo,121.32421875,0.000347137451171875
22,100,2,efficient_non_dominated_sort,121.32421875,0.000591278076171875
23,100,2,fast_non_dominated_sort,121.32421875,0.0011546611785888672
24,100,2,nmoo,121.32421875,0.0002541542053222656
25,100,2,efficient_non_dominated_sort,121.32421875,0.0006136894226074219
26,100,2,fast_non_dominated_sort,121.32421875,0.0009579658508300781
27,100,2,nmoo,121.32421875,0.0002465248107910156
28,100,2,efficient_non_dominated_sort,121.32421875,0.0006155967712402344
29,100,2,fast_non_dominated_sort,121.328125,0.001085042953491211
30,100,3,nmoo,121.328125,0.0008161067962646484
31,100,3,efficient_non_dominated_sort,121.328125,0.0005719661712646484
32,100,3,fast_non_dominated_sort,121.328125,0.0010616779327392578
33,100,3,nmoo,121.328125,0.0006551742553710938
34,100,3,efficient_non_dominated_sort,121.328125,0.0005795955657958984
35,100,3,fast_non_dominated_sort,121.328125,0.0009291172027587891
36,100,3,nmoo,121.328125,0.0008177757263183594
37,100,3,efficient_non_dominated_sort,121.328125,0.0005095005035400391
38,100,3,fast_non_dominated_sort,121.328125,0.0009331703186035156
39,100,3,nmoo,121.328125,0.001192331314086914
40,100,3,efficient_non_dominated_sort,121.328125,0.0005059242248535156
